barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({34, 39, 8, 45, 15, 22, 25, 26, 31}), frozenset({34, 8, 45, 15, 22, 23, 25, 26, 31})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
"[frozenset({34, 36, 37, 7, 45, 14, 17, 20, 28}), frozenset({34, 36, 37, 7, 45, 14, 20, 25, 28}), frozenset({34, 37, 7, 41, 45, 14, 20, 25, 28}), frozenset({32, 34, 37, 7, 45, 14, 20, 25, 28}), frozenset({32, 34, 37, 7, 45, 14, 17, 20, 28}), frozenset({32, 34, 37, 7, 45, 14, 20, 28, 30})]",6,"[[23, 19, 17], [15, 19, 23], [15, 19, 17], [17, 19, 15], [21, 19, 15], [17, 19, 25]]","[{35}, {13}, {26, 35, 13}, {35, 36, 13}, {35}, {13}]"
"[frozenset({39, 42, 13, 46, 15, 20, 22, 27, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({34, 37, 10, 45, 19, 21, 22, 25, 27}), frozenset({34, 37, 9, 10, 45, 19, 22, 25, 27}), frozenset({34, 37, 9, 10, 45, 19, 22, 25, 31}), frozenset({34, 37, 9, 10, 45, 19, 22, 25, 30}), frozenset({34, 37, 10, 11, 45, 19, 22, 25, 30}), frozenset({34, 37, 10, 11, 45, 19, 20, 22, 25})]",6,"[[19, 17, 15], [17, 19, 15], [21, 19, 15], [17, 19, 23], [19, 17, 23], [19, 21, 15]]","[{35}, {17, 35, 36}, {35}, {17}, {16}, {36}]"
"[frozenset({35, 39, 7, 9, 11, 46, 16, 21, 27})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({37, 7, 44, 13, 45, 20, 22, 25, 28}), frozenset({37, 7, 44, 45, 17, 20, 22, 25, 28})]",2,"[[17, 19, 15], [21, 17, 15]]","[{36}, {29}]"
"[frozenset({36, 9, 11, 44, 45, 14, 17, 20, 23})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({34, 10, 12, 45, 22, 25, 27, 28, 31}), frozenset({34, 37, 10, 12, 45, 22, 25, 27, 28}), frozenset({34, 37, 10, 12, 45, 22, 25, 28, 30})]",3,"[[21, 19, 15], [17, 19, 15], [17, 19, 23]]","[{35}, {17, 35, 36}, {17}]"
"[frozenset({32, 34, 7, 39, 11, 46, 16, 26, 30}), frozenset({32, 34, 7, 39, 11, 46, 16, 21, 30})]",2,"[[23, 17, 19], [17, 25, 19]]","[{24}, {31}]"
"[frozenset({34, 37, 7, 41, 14, 18, 19, 24, 25})]",1,"[[15, 19, 17]]",[{26}]
"[frozenset({37, 40, 10, 12, 45, 18, 25, 29, 31})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({35, 41, 11, 46, 16, 19, 21, 23, 27})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({32, 34, 11, 44, 13, 46, 15, 21, 30}), frozenset({32, 34, 11, 44, 46, 15, 16, 21, 30}), frozenset({32, 34, 10, 11, 44, 46, 15, 21, 30}), frozenset({32, 34, 10, 11, 44, 46, 15, 20, 21}), frozenset({32, 34, 36, 10, 11, 44, 46, 15, 21})]",5,"[[21, 15, 19], [17, 25, 19], [19, 15, 19], [19, 25, 17], [19, 15, 21]]","[{24}, {31}, {16, 24, 31}, {31}, {16}]"
"[frozenset({37, 7, 42, 44, 14, 20, 25, 28, 31}), frozenset({37, 7, 42, 44, 14, 17, 20, 25, 28}), frozenset({37, 7, 42, 44, 14, 16, 20, 25, 28}), frozenset({37, 7, 42, 44, 14, 20, 25, 28, 30}), frozenset({7, 42, 44, 14, 20, 21, 25, 28, 30})]",5,"[[15, 17, 21], [23, 17, 17], [15, 19, 17], [15, 17, 19], [23, 17, 17]]","[{13}, {29}, {26}, {26, 13, 29}, {29}]"
"[frozenset({32, 11, 44, 13, 46, 19, 23, 24, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({32, 34, 37, 45, 14, 15, 13, 19, 25}), frozenset({32, 34, 37, 40, 13, 45, 14, 15, 25})]",2,"[[19, 17, 15], [19, 15, 17]]","[{35}, {24}]"
"[frozenset({34, 39, 10, 12, 46, 21, 22, 26, 30})]",1,"[[23, 17, 19]]",[{24}]
"[frozenset({35, 40, 9, 11, 46, 20, 21, 27, 28}), frozenset({35, 40, 9, 11, 46, 16, 21, 27, 28})]",2,"[[17, 17, 23], [17, 23, 17]]","[{13}, {31}]"
"[frozenset({36, 37, 39, 10, 44, 14, 15, 25, 29})]",1,"[[17, 15, 19]]",[{16}]
"[frozenset({32, 34, 8, 41, 12, 46, 17, 23, 25}), frozenset({32, 34, 8, 41, 12, 44, 46, 17, 25})]",2,"[[19, 17, 15], [19, 15, 17]]","[{35}, {24}]"
"[frozenset({34, 37, 7, 40, 42, 11, 16, 18, 25}), frozenset({34, 37, 7, 40, 11, 16, 18, 25, 27})]",2,"[[15, 21, 19], [17, 21, 17]]","[{26}, {36}]"
"[frozenset({34, 37, 13, 45, 15, 18, 22, 24, 25}), frozenset({34, 37, 41, 13, 45, 15, 18, 24, 25})]",2,"[[17, 19, 15], [15, 19, 17]]","[{36}, {26}]"
"[frozenset({34, 37, 41, 13, 18, 20, 23, 25, 29})]",1,"[[15, 19, 17]]",[{26}]
"[frozenset({35, 8, 41, 9, 12, 15, 16, 21, 27})]",1,"[[17, 23, 17]]",[{31}]
